"Broadcast type","Coverage","Date","Regions"
" Nindies Showcase
","Indie games for the Nintendo Switch
","February 28, 2017
","North America, Europe
"

" Nintendo Direct
","Nintendo Switch and Nintendo 3DS games, with a focus on Arms and Splatoon 2
","April 12, 2017
","Japan, North America, Europe, Australia
"

" Feh Channel
","Fire Emblem Heroes
","April 28, 2017
","Japan
"

" Nintendo Direct
","Arms (plus a small segment on Splatoon 2)
","May 17, 2017
","Japan, North America, Europe, Australia
"

" Pokթmon Direct
","Pokkթn Tournament DXPokթmon Ultra Sun and Ultra MoonPokթmon Gold and Silver (Virtual Console)
","June 6, 2017
","Japan, North America, Europe, Australia, Hong Kong
"

" Nintendo Spotlight: E3 2017
","Nintendo Switch and Nintendo 3DS games
","June 13, 2017
","Japan, North America, Europe, Australia, Hong Kong
"

" Nintendo Direct
","Dragon Quest XI
","June 21, 2017
","Japan
"

" Nintendo Direct
","Splatoon 2
","July 6, 2017
","Japan, North America, Europe, Australia
"

" Feh Channel
","Fire Emblem Heroes
","July 27, 2017
","Japan, North America, Europe
"

" Nindies Showcase
","Indie games for the Nintendo Switch
","August 30, 2017
","North America
"

" Feh Channel
","Fire Emblem Heroes
","September 13, 2017
","Japan, North America, Europe
"

" Nintendo Direct
","Nintendo Switch and Nintendo 3DS games, with a focus on Xenoblade Chronicles 2 and Super Mario Odyssey
","September 13, 2017
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Animal Crossing: Pocket Camp
","October 24, 2017
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Xenoblade Chronicles 2
","November 7, 2017
","Japan, North America, Europe, Australia
"


" Feh Channel
","Fire Emblem Heroes
","November 14, 2017
","Japan, North America, Europe
"

" Nintendo Direct Mini
","Spring-Summer 2018 Nintendo Switch games
","January 11, 2018
","Japan, North America, Europe, Australia
"

" Feh Channel
","Fire Emblem Heroes
","January 30, 2018
","Japan, North America, Europe
"

" Nintendo Direct
","Nintendo Switch and Nintendo 3DS games, with a focus on Mario Tennis Aces
","March 8, 2018
","Japan, North America, Europe, Australia
"

" Nindies Showcase
","Indie games for the Nintendo Switch
","March 20, 2018
","North America, Europe
"

